Provider_Name,Provider_Type,Specialty,FTE,Patient_Visits,Work_RVUs,Gross_Charges,Collections,RVU_Per_Visit,Revenue_Per_RVU,Collection_Rate,Visits_Per_Day
Dr. Sarah Mitchell,Physician,Family Medicine,1.0,2840,3256,784500,612800,1.15,188.25,94.2,11.4
Dr. James Rodriguez,Physician,Internal Medicine,1.0,2680,3458,826400,641250,1.29,185.42,93.8,10.7
Dr. Lisa Chen,Physician,Family Medicine,1.0,2520,2896,698200,548960,1.15,189.50,94.5,10.1
Dr. Michael Park,Physician,Pediatrics,0.8,2180,2245,485600,392480,1.03,174.85,92.8,10.9
Dr. Jennifer Walsh,Physician,Family Medicine,0.8,1950,2184,456800,368420,1.12,168.68,92.3,9.7
Dr. Robert Kim,Physician,Internal Medicine,0.6,1420,1896,398500,315840,1.34,166.62,91.2,9.5
Dr. Angela Torres,Physician,Urgent Care,1.0,3680,2945,536400,438920,0.80,149.04,91.8,14.7
Dr. Kevin Wu,Physician,Family Medicine,0.6,1240,1456,324800,268400,1.17,184.34,93.6,8.3
NP Amanda Thompson,Nurse Practitioner,Family Practice,1.0,2240,1958,385600,312480,0.87,159.61,93.0,9.0
NP David Martinez,Nurse Practitioner,Urgent Care,1.0,3680,2945,425800,348920,0.80,118.46,91.5,14.7
NP Karen Lee,Nurse Practitioner,Women's Health,0.8,1680,1542,298400,246850,0.92,160.09,93.8,8.4
